name,symbol,subsector_id,listing_date,cmpy_id,security_id,psei
"2GO Group, Inc.",2GO,22,1995-05-15,29,146,0
"8990 Holdings, Inc.",HOUSE,13,2010-12-09,626,563,0
"A Brown Company, Inc.",BRN,13,1994-02-08,13,234,0
A. Soriano Corporation,ANS,4,1973-10-25,14,169,0
ABS-CBN Corporation,ABS,18,1992-07-08,114,123,0
ABS-CBN Holdings Corporation,ABSP,18,1999-10-07,15,259,0
AC Energy Corporation,ACEN,8,1970-01-05,233,140,1
"ACE Enexor, Inc.",ACEX,12,2014-08-28,653,599,0
"APC Group, Inc.",APC,19,1994-03-08,177,182,0
"AREIT, Inc.",AREIT,13,2020-08-13,679,655,0
"ATN Holdings, Inc.",ATN,4,1970-09-24,56,176,0
"AbaCore Capital Holdings, Inc.",ABA,4,1987-10-28,174,173,0
"Aboitiz Equity Ventures, Inc.",AEV,4,1994-11-16,16,183,1
Aboitiz Power Corporation,AP,8,2007-07-16,609,532,1
Abra Mining and Industrial Corporation,AR,11,1969-12-24,33,321,0
Acesite (Phils.) Hotel Corporation,ACE,16,1986-12-05,48,370,0
"AgriNurture, Inc.",ANI,9,2009-05-25,619,547,0
"AllDay Marts, Inc.",ALLDY,20,2021-11-03,686,674,0
AllHome Corp.,HOME,20,2019-10-10,674,647,0
"Alliance Global Group, Inc.",AGI,4,1999-04-19,212,179,1
"Alliance Select Foods International, Inc.",FOOD,9,2006-11-08,602,524,0
"Alsons Consolidated Resources, Inc.",ACR,8,1993-04-12,121,170,0
"Altus Property Ventures, Inc.",APVI,24,2020-06-26,678,654,0
"Anchor Land Holdings, Inc.",ALHI,13,2007-08-08,612,536,0
Anglo Philippine Holdings Corporation,APO,4,1959-07-31,52,171,0
"Apex Mining Co., Inc.",APX,11,1974-03-07,178,318,0
"Apollo Global Capital, Inc.",APL,17,2012-10-18,638,581,0
"Araneta Properties, Inc.",ARA,13,1989-11-14,38,294,0
Arthaland Corporation,ALCO,13,1996-03-19,172,316,0
Asia Amalgamated Holdings Corporation,AAA,4,1973-03-22,55,347,0
Asia United Bank Corporation,AUB,2,2013-05-17,641,584,0
Asiabest Group International Inc.,ABG,4,1979-07-10,176,350,0
"Asian Terminals, Inc.",ATI,22,1996-01-25,53,141,0
Atlas Consolidated Mining and Development Corporation,AT,11,1970-11-17,34,320,0
"Atok-Big Wedge Co., Inc.",AB,11,1948-01-08,19,181,0
Axelum Resources Corp.,AXLM,9,2019-10-07,673,646,0
Ayala Corporation,AC,4,1976-11-08,57,180,1
"Ayala Land, Inc.",ALI,13,1991-07-05,180,293,1
AyalaLand Logistics Holdings Corp.,ALLHC,13,1990-02-28,26,202,0
"BDO Leasing and Finance, Inc.",BLFI,3,1997-01-06,31,121,0
"BDO Unibank, Inc.",BDO,2,2002-05-21,260,468,1
"BHI Holdings, Inc.",BH,4,1973-04-02,62,358,0
